Fri Sep  6 10:54:39 2024    output.prof

         9370 function calls (9362 primitive calls) in 0.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:314(assignint)
        2    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:179(returntoolastcall)
        4    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:50(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:496(changeindex)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:202(RETURN)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:83(BASICCONDITION)
        3    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:60(pop)
        5    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:345(giveresult)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:325(MODULO)
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:579(_calc_mode)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:31(Node)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:67(addcond)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:49(Stack)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:330(COND)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        3    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:111(getcond)
        6    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:240(isreadable)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:96(backtooldconds)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:194(LISTFUNCTION)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:339(changeleft)
        6    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:87(movetonewconds)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:536(read)
        3    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:590(iswritable)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:342(changeright)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:593(isreadable)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\anaconda3\Lib\site-packages\_distutils_hack\__init__.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:8(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:216(forcewrite)
        1    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\ErrorCorrection.py:6(giveinstructions)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:581(changeread)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:584(changewrite)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:355(__init__)


